"","imageName","lat","lng","dataTime","remark","上傳者","標註者","createdAt","updatedAt","候選人姓名（不想寫請填NA）","大選區","政黨","子選區","候選人類別（同框選小的）","多看板中的哪一個","看板類別","思源地圖類別","思源地圖名稱","是否有政黨標誌","主標語","位置描述資訊","看板費用類別"
"1","6317333910be1593b0c8d24f",24.7848694444444,120.990622222222,"2022-09-06T09:33:00.000Z",NA,"5e748a1d4894f400bb0cf7df",NA,"2022-09-06T11:47:05.285Z","2022-09-06T11:47:05.285Z","張水源","新竹市","無黨",NA,"其他（如鄉鎮市長、或村里長）","左","固定式",NA,NA,"否","我愛仙宮",NA,NA
"2","631732e410be153e6dc8d24e",24.7848694444444,120.990622222222,"2022-09-06T09:33:00.000Z",NA,"5e748a1d4894f400bb0cf7df",NA,"2022-09-06T11:45:40.210Z","2022-09-06T11:45:40.210Z","黃文政","新竹市","國民黨","東區","縣市議員","右","固定式",NA,NA,"是","超好用的",NA,NA
"3","631732a410be157ea9c8d24d",24.7849361111111,120.990227777778,"2022-09-06T09:32:00.000Z",NA,"5e748a1d4894f400bb0cf7df",NA,"2022-09-06T11:44:36.579Z","2022-09-06T11:44:36.579Z","蔡惠婷","新竹市","無黨","東區","縣市議員","只有一個","固定式",NA,NA,"否","守護兒少 爸媽安心",NA,NA
"4","6317325510be1533edc8d24c",24.7860555555556,120.988219444444,"2022-09-06T09:31:00.000Z",NA,"5e748a1d4894f400bb0cf7df",NA,"2022-09-06T11:43:17.626Z","2022-09-06T11:43:17.626Z","何佳樺","新竹市","無黨","南區","縣市議員","下","固定式",NA,NA,"否","服務不分區 建設不分藍綠 ",NA,NA
"5","6317322110be156d5cc8d24b",24.7860555555556,120.988219444444,"2022-09-06T09:31:00.000Z",NA,"5e748a1d4894f400bb0cf7df",NA,"2022-09-06T11:42:25.537Z","2022-09-06T11:42:25.537Z","張祖琰","新竹市","國民黨","東區","縣市議員","上","固定式",NA,NA,"是","有品質 會做事",NA,NA
"6","6317319c10be1569d5c8d24a",24.7868361111111,120.986908333333,"2022-09-06T09:31:00.000Z",NA,"5e748a1d4894f400bb0cf7df",NA,"2022-09-06T11:40:12.701Z","2022-09-06T11:40:12.701Z","沈慧紅","新竹市","民進黨",NA,"縣市長","只有一個","固定式",NA,NA,"是","新竹光榮我帶頭",NA,NA
"7","6317316e10be152389c8d249",24.7907527777778,120.976319444444,"2022-09-06T09:28:00.000Z",NA,"5e748a1d4894f400bb0cf7df",NA,"2022-09-06T11:39:26.428Z","2022-09-06T11:39:26.428Z","何佳樺","新竹市","無黨","南區","縣市議員","左","固定式",NA,NA,"否","新竹心幸福",NA,NA
"8","6317312f10be154ab6c8d248",24.7907527777778,120.976319444444,"2022-09-06T09:28:00.000Z",NA,"5e748a1d4894f400bb0cf7df",NA,"2022-09-06T11:38:23.111Z","2022-09-06T11:38:23.111Z","施乃如","新竹市","民進黨","南區","縣市議員","不容易描述","固定式",NA,NA,"是","美好新竹",NA,NA
"9","6317310210be15ea60c8d247",24.7907527777778,120.976319444444,"2022-09-06T09:28:00.000Z",NA,"5e748a1d4894f400bb0cf7df",NA,"2022-09-06T11:37:38.569Z","2022-09-06T11:37:38.569Z","許修睿","新竹市","國民黨","南區","縣市議員","右","固定式",NA,NA,"是","專注前行",NA,NA
"10","631730d510be159bf6c8d246",24.7921333333333,120.973716666667,"2022-09-06T09:24:00.000Z",NA,"5e748a1d4894f400bb0cf7df",NA,"2022-09-06T11:36:53.405Z","2022-09-06T11:36:53.405Z","許修睿","新竹市","國民黨","南區","縣市議員","只有一個","固定式",NA,NA,"是","專注前行",NA,NA
"11","631730a310be15c2eac8d245",24.7904722222222,120.974175,"2022-09-06T09:23:00.000Z",NA,"5e748a1d4894f400bb0cf7df",NA,"2022-09-06T11:36:03.604Z","2022-09-06T11:36:03.604Z","徐美惠","新竹市","國民黨","南區","縣市議員","只有一個","固定式",NA,NA,"是","市民為尊",NA,NA
"12","6317305810be150912c8d244",24.7858111111111,120.97725,"2022-09-06T09:22:00.000Z",NA,"5e748a1d4894f400bb0cf7df",NA,"2022-09-06T11:34:48.379Z","2022-09-06T11:34:48.379Z","許修睿","新竹市","國民黨","南區","縣市議員","只有一個","固定式",NA,NA,"是","專注前行",NA,NA
"13","6317302610be1576c4c8d243",24.780575,120.981422222222,"2022-09-06T09:20:00.000Z",NA,"5e748a1d4894f400bb0cf7df",NA,"2022-09-06T11:33:58.424Z","2022-09-06T11:33:58.424Z","何佳樺","新竹市","無黨","南區","縣市議員","右",NA,NA,NA,"否","共好 共享 友善 幸福",NA,NA
