"","imageName","lat","lng","dataTime","remark","上傳者","標註者","createdAt","updatedAt","候選人姓名（不想寫請填NA）","大選區","政黨","子選區","候選人類別（同框選小的）","多看板中的哪一個","看板類別","思源地圖類別","思源地圖名稱","是否有政黨標誌","主標語","位置描述資訊","看板費用類別"
"1","630ef80d10be154d67c8d197",24.14215,120.671797222222,"2022-08-31T04:59:00.000Z",NA,"5f16b3799da4ec1711d623b4",NA,"2022-08-31T05:56:29.843Z","2022-08-31T05:56:29.843Z","林京玲","臺中市","不知",NA,"縣市議員","只有一個","固定式",NA,NA,"否","歡迎索取公民美食地圖",NA,NA
"2","630ef7d310be157982c8d196",24.119025,120.679091666667,"2022-08-31T03:39:00.000Z",NA,"5f16b3799da4ec1711d623b4",NA,"2022-08-31T05:55:31.120Z","2022-08-31T05:55:31.120Z","鄒明諺","臺中市","時代力量",NA,"縣市議員","左",NA,NA,NA,"是",NA,NA,NA
"3","630ef74810be15d6f6c8d195",24.119025,120.679091666667,"2022-08-31T03:39:00.000Z",NA,"5f16b3799da4ec1711d623b4",NA,"2022-08-31T05:53:12.837Z","2022-08-31T05:53:12.837Z","林俊凱","臺中市","民眾黨",NA,"縣市議員","右","固定式",NA,NA,NA,"Taiwan最棒的政黨",NA,NA
"4","630ef70e10be15edc5c8d194",24.3085638888889,120.72255,"2022-08-31T00:25:00.000Z",NA,"5f16b3799da4ec1711d623b4",NA,"2022-08-31T05:52:14.808Z","2022-08-31T05:52:14.808Z","陳本添","臺中市","國民黨",NA,"縣市議員","左",NA,NA,NA,"否",NA,NA,NA
"5","630ef6df10be153995c8d193",24.2998861111111,120.723213888889,"2022-08-31T00:23:00.000Z",NA,"5f16b3799da4ec1711d623b4",NA,"2022-08-31T05:51:27.537Z","2022-08-31T05:51:27.537Z","翁美春","臺中市","不知",NA,"縣市議員","只有一個","固定式",NA,NA,NA,"有經驗繼續拚",NA,NA
"6","630ef6a810be15e9bfc8d192",24.2428638888889,120.729386111111,"2022-08-31T00:03:00.000Z",NA,"5f16b3799da4ec1711d623b4",NA,"2022-08-31T05:50:32.796Z","2022-08-31T05:50:32.796Z","邱愛姍","臺中市","國民黨",NA,"縣市議員","只有一個",NA,NA,NA,"否","競選總部",NA,NA
"7","630ef67510be151cfdc8d191",24.2364916666667,120.721991666667,"2022-08-30T23:56:00.000Z",NA,"5f16b3799da4ec1711d623b4",NA,"2022-08-31T05:49:41.138Z","2022-08-31T05:49:41.138Z","張靜分","臺中市","國民黨",NA,"縣市議員","只有一個","固定式",NA,NA,"否","幸福臺中，宜居豐后",NA,NA
"8","630e1e4110be1575fdc8d190",24.1129694444444,120.690138888889,"2022-08-29T23:50:00.000Z",NA,"5f16b3799da4ec1711d623b4",NA,"2022-08-30T14:27:13.194Z","2022-08-30T14:27:13.194Z","林德宇","臺中市","民進黨",NA,"縣市議員","左",NA,NA,NA,"是","衝出好未來",NA,NA
"9","630e1dfa10be15abacc8d18f",24.1021861111111,120.672325,"2022-08-30T00:25:00.000Z",NA,"5f16b3799da4ec1711d623b4",NA,"2022-08-30T14:26:02.566Z","2022-08-30T14:26:02.566Z","張滄沂","臺中市","不知",NA,"縣市議員","左",NA,NA,NA,NA,"說到做到",NA,NA
"10","630e1dcc10be15c48bc8d18e",24.1021861111111,120.672325,"2022-08-30T00:25:00.000Z","老婆合照","5f16b3799da4ec1711d623b4",NA,"2022-08-30T14:25:16.902Z","2022-08-30T14:25:16.902Z","蘇柏興","臺中市","國民黨",NA,"縣市議員","右",NA,NA,NA,"否",NA,NA,NA
