"","VILLCODE","COUNTYNAME","TOWNNAME","VILLNAME","VILLENG","COUNTYID","COUNTYCODE","TOWNID","TOWNCODE","NOTE","fullname","area","field_1","imageName","lat","lng","dataTime","remark","上傳者","標註者","createdAt","updatedAt","候選人姓名.不想寫請填NA.","大選區","政黨","子選區","候選人類別.同框選小的.","多看板中的哪一個","看板類別","思源地圖類別","思源地圖名稱","是否有政黨標誌","主標語","位置描述資訊","看板費用類別","geometry"
"5807","10009010008","雲林縣","斗六市","三平里","Sanping Vil.","P","10009","P01","10009010",NA,"雲林縣斗六市三平里",883673.268287358,"1","631d9c4d10be152c87c8d27b",23.7095135739031,120.533308278589,"2022-09-11T08:26:00.000Z","NA","6311fe3910be152ca5c8d199","NA","2022-09-11T08:29:01.423Z","2022-09-11T08:29:01.423Z","陳永修","雲林縣","國民黨","NA","縣市議員","只有一個","固定式","NA","NA","NA","NA","NA","NA",c(120.533308278589, 23.7095135739031)
"5808","10009010022","雲林縣","斗六市","保庄里","Baozhuang Vil.","P","10009","P01","10009010",NA,"雲林縣斗六市保庄里",3207821.51846225,"1","631d9c4d10be152c87c8d27b",23.7095135739031,120.533308278589,"2022-09-11T08:26:00.000Z","NA","6311fe3910be152ca5c8d199","NA","2022-09-11T08:29:01.423Z","2022-09-11T08:29:01.423Z","陳永修","雲林縣","國民黨","NA","縣市議員","只有一個","固定式","NA","NA","NA","NA","NA","NA",c(120.533308278589, 23.7095135739031)
"4856","10009010011","雲林縣","斗六市","龍潭里","Longtan Vil.","P","10009","P01","10009010",NA,"雲林縣斗六市龍潭里",1987352.21661958,"2","631d9b1510be151c53c8d27a",23.6948345,120.5278406,"2022-09-11T08:20:00.000Z","NA","6311fe3910be152ca5c8d199","NA","2022-09-11T08:23:49.392Z","2022-09-11T08:23:49.392Z","陳永修","雲林縣","國民黨","NA","縣市議員","下","固定式","NA","NA","否","NA","議會附近","NA",c(120.5278406, 23.6948345)
"6927","65000020086","新北市","三重區","培德里","Peide Vil.","F","65000","F05","65000020",NA,"新北市三重區培德里",164313.751896546,"3","631c939b10be1521a8c8d279",25.0700378888889,121.483234361111,"2022-09-10T13:31:00.000Z","NA","5fa90c6ab652fe3e6e4447ab","NA","2022-09-10T13:39:39.126Z","2022-09-10T13:39:39.126Z","王威元","新北市","國民黨","NA","縣市議員","左","固定式","NA","NA","是","NA","NA","NA",c(121.483234361111, 25.0700378888889)
"6898","65000020017","新北市","三重區","田中里","Tianzhong Vil.","F","65000","F05","65000020",NA,"新北市三重區田中里",110900.413550358,"4","631c901110be1501bbc8d278",25.0673624166667,121.481485722222,"2022-09-10T10:02:00.000Z","NA","5fa90c6ab652fe3e6e4447ab","NA","2022-09-10T13:24:33.724Z","2022-09-10T13:24:33.724Z","李倩萍","新北市","民進黨","NA","縣市議員","左","固定式","NA","NA","NA","NA","NA","NA",c(121.481485722222, 25.0673624166667)
"6898.1","65000020017","新北市","三重區","田中里","Tianzhong Vil.","F","65000","F05","65000020",NA,"新北市三重區田中里",110900.413550358,"5","631c8f9710be153f0cc8d277",25.0679472777778,121.480735138889,"2022-09-10T10:00:00.000Z","NA","5fa90c6ab652fe3e6e4447ab","NA","2022-09-10T13:22:31.437Z","2022-09-10T13:22:31.437Z","邱婷蔚","新北市","民進黨","三重蘆洲","縣市議員","只有一個","固定式","NA","NA","NA","NA","NA","NA",c(121.480735138889, 25.0679472777778)
"1967","66000020013","臺中市","東區","合作里","Hezuo Vil.","B","66000","B02","66000020",NA,"臺中市東區合作里",163413.839786674,"7","631c3beb10be1578ddc8d275",24.1516666666667,120.694366666667,"2022-09-07T05:19:00.000Z","NA","5f16b3799da4ec1711d623b4","NA","2022-09-10T07:25:31.197Z","2022-09-10T07:25:31.197Z","林文仲","臺中市","不知","NA","縣市議員","左","NA","NA","NA","否","NA","NA","NA",c(120.694366666667, 24.1516666666667)
"1967.1","66000020013","臺中市","東區","合作里","Hezuo Vil.","B","66000","B02","66000020",NA,"臺中市東區合作里",163413.839786674,"8","631c3b6c10be1589cec8d274",24.1516666666667,120.694366666667,"2022-09-07T05:19:00.000Z","NA","5f16b3799da4ec1711d623b4","NA","2022-09-10T07:23:24.052Z","2022-09-10T07:23:24.052Z","何昆霖","臺中市","民進黨","NA","縣市議員","不容易描述","固定式","NA","NA","NA","國際經驗台中實現","NA","NA",c(120.694366666667, 24.1516666666667)
"1967.2","66000020013","臺中市","東區","合作里","Hezuo Vil.","B","66000","B02","66000020",NA,"臺中市東區合作里",163413.839786674,"9","631c3ac210be157f6dc8d273",24.1516666666667,120.694366666667,"2022-09-07T05:19:00.000Z","NA","5f16b3799da4ec1711d623b4","NA","2022-09-10T07:20:34.067Z","2022-09-10T07:20:34.067Z","鄭功進","臺中市","民進黨","NA","縣市議員","右","固定式","NA","NA","是","NA","NA","NA",c(120.694366666667, 24.1516666666667)
"5897","66000080007","臺中市","北屯區","舊社里","Jiushe Vil.","B","66000","B08","66000080",NA,"臺中市北屯區舊社里",2510092.3544446,"10","631c3a8810be15c451c8d272",24.1822388888889,120.702027777778,"2022-09-07T05:27:00.000Z","NA","5f16b3799da4ec1711d623b4","NA","2022-09-10T07:19:36.780Z","2022-09-10T07:19:36.780Z","黃健豪","臺中市","國民黨","NA","縣市議員","只有一個","固定式","NA","NA","是","豪！","NA","NA",c(120.702027777778, 24.1822388888889)
"2397","66000170001","臺中市","潭子區","潭陽里","Tanyang Vil.","B","66000","B17","66000170",NA,"臺中市潭子區潭陽里",1031938.66661169,"11","631c3a4e10be15d92dc8d271",24.2068777777778,120.705230555556,"2022-09-07T05:32:00.000Z","NA","5f16b3799da4ec1711d623b4","NA","2022-09-10T07:18:38.037Z","2022-09-10T07:18:38.037Z","吳呈賢","臺中市","國民黨","NA","縣市議員","只有一個","固定式","NA","NA","是","新世代創新","NA","NA",c(120.705230555556, 24.2068777777778)
"5903","66000170004","臺中市","潭子區","福仁里","Furen Vil.","B","66000","B17","66000170",NA,"臺中市潭子區福仁里",1377263.47271816,"11","631c3a4e10be15d92dc8d271",24.2068777777778,120.705230555556,"2022-09-07T05:32:00.000Z","NA","5f16b3799da4ec1711d623b4","NA","2022-09-10T07:18:38.037Z","2022-09-10T07:18:38.037Z","吳呈賢","臺中市","國民黨","NA","縣市議員","只有一個","固定式","NA","NA","是","新世代創新","NA","NA",c(120.705230555556, 24.2068777777778)
"2398","66000170002","臺中市","潭子區","潭秀里","Tanxiu Vil.","B","66000","B17","66000170",NA,"臺中市潭子區潭秀里",768030.24051611,"12","631c39fb10be152ce2c8d270",24.2153833333333,120.705283333333,"2022-09-07T05:34:00.000Z","NA","5f16b3799da4ec1711d623b4","NA","2022-09-10T07:17:15.462Z","2022-09-10T07:17:15.462Z","鄭勁節","臺中市","時代力量","NA","縣市議員","只有一個","固定式","NA","NA","是","台中特有種","NA","NA",c(120.705283333333, 24.2153833333333)
"2279","66000090022","臺中市","豐原區","田心里","Tianxin Vil.","B","66000","B09","66000090",NA,"臺中市豐原區田心里",568534.48466986,"13","631c39be10be15c5fbc8d26f",24.2370055555556,120.710341666667,"2022-09-07T05:38:00.000Z","NA","5f16b3799da4ec1711d623b4","NA","2022-09-10T07:16:14.257Z","2022-09-10T07:16:14.257Z","陳清龍","臺中市","國民黨","NA","縣市議員","只有一個","固定式","NA","NA","否","豐原更好","NA","NA",c(120.710341666667, 24.2370055555556)
"2257","66000090003","臺中市","豐原區","中山里","Zhongshan Vil.","B","66000","B09","66000090",NA,"臺中市豐原區中山里",76789.2227534232,"14","631c397710be15001ec8d26e",24.2505416666667,120.718947222222,"2022-09-07T05:44:00.000Z","NA","5f16b3799da4ec1711d623b4","NA","2022-09-10T07:15:03.366Z","2022-09-10T07:15:03.366Z","劉志忠","臺中市","民進黨","NA","縣市議員","只有一個","NA","NA","NA","NA","行動派","NA","NA",c(120.718947222222, 24.2505416666667)
"2257.1","66000090003","臺中市","豐原區","中山里","Zhongshan Vil.","B","66000","B09","66000090",NA,"臺中市豐原區中山里",76789.2227534232,"15","631c394910be150b09c8d26d",24.2506861111111,120.718894444444,"2022-09-07T05:44:00.000Z","NA","5f16b3799da4ec1711d623b4","NA","2022-09-10T07:14:17.879Z","2022-09-10T07:14:17.879Z","邱愛珊","臺中市","國民黨","NA","縣市議員","右","固定式","","NA","是","台中好媽媽","NA","NA",c(120.718894444444, 24.2506861111111)
"2112","66000030001","臺中市","南區","城隍里","Chenghuang Vil.","B","66000","B03","66000030",NA,"臺中市南區城隍里",215146.975958689,"16","631c390910be150186c8d26c",24.1280833333333,120.680938888889,"2022-09-07T08:59:00.000Z","NA","5f16b3799da4ec1711d623b4","NA","2022-09-10T07:13:13.682Z","2022-09-10T07:13:13.682Z","陳雅慧","臺中市","民進黨","NA","縣市議員","左","固定式","NA","NA","是","經驗傳承","NA","NA",c(120.680938888889, 24.1280833333333)
